                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7077,                 3.3596,                  1.754,                  0.002,                    0.6,                 0.1964,                0.05884,                 3.0775,                 4.7958,                 3.7872,                0.00038,                0.00038,                0.00038
                      2,                 1.7647,                 2.9331,                 1.7027,                0.59788,                    0.4,                0.34254,                0.09656,                 2.5358,                 3.7421,                 2.8671,             0.00077957,             0.00077957,             0.00077957
                      3,                 1.6422,                 2.7809,                 1.7206,                0.00333,                      1,                0.37746,                0.10275,                 2.0291,                 4.0459,                 2.8415,              0.0011787,              0.0011787,              0.0011787
                      4,                  1.711,                 2.7798,                 1.6811,                 0.1298,                    0.6,                 0.4613,                  0.122,                 2.0342,                 4.1655,                 2.4895,              0.0015774,              0.0015774,              0.0015774
                      5,                 1.8192,                 2.9423,                 1.8365,                0.21654,                    0.4,                 0.1446,                0.06058,                  1.795,                 3.4582,                 2.1598,              0.0019756,              0.0019756,              0.0019756
                      6,                 1.9645,                 3.1893,                  1.967,                0.08092,                    0.2,                0.20534,                0.09989,                 2.5535,                  3.957,                 2.6987,              0.0019945,              0.0019945,              0.0019945
                      7,                 1.9779,                 3.0844,                 1.9771,                0.44657,                    0.2,                0.22277,                0.12383,                 2.5234,                 4.0495,                 2.6528,              0.0019945,              0.0019945,              0.0019945
                      8,                 2.0871,                 3.0065,                 2.0996,                0.23304,                    0.2,                 0.0999,                0.04859,                 1.8973,                 5.6967,                 2.8728,              0.0019934,              0.0019934,              0.0019934
                      9,                 2.0428,                 3.0156,                 2.1025,                0.07944,                    0.2,                0.05439,                0.01766,                  2.527,                 17.426,                 4.5638,              0.0019923,              0.0019923,              0.0019923
                     10,                 2.1236,                 2.9645,                 2.0873,                0.87169,                    0.4,                0.44071,                0.11791,                 2.4886,                 6.5624,                 3.6616,              0.0019912,              0.0019912,              0.0019912
                     11,                 1.9842,                 3.0389,                  1.988,                0.56832,                    0.4,                0.36498,                0.19557,                 2.2164,                 8.1327,                 3.6208,              0.0019901,              0.0019901,              0.0019901
